id,name,now_cost,position,team,dreamteam_count,goals_conceded,selected_rank_type,form,creativity_rank,ep_this,chance_of_playing_this_round,bonus,expected_assists,creativity,web_name,penalties_order,ict_index_rank,clean_sheets,ep_next,expected_goals_conceded,in_dreamteam,red_cards,expected_assists_per_90,threat,transfers_in,ict_index_rank_type,corners_and_indirect_freekicks_order,value_form,saves,news,total_points,expected_goals_per_90,cost_change_start,yellow_cards,goals_scored,threat_rank,chance_of_playing_next_round,points_per_game_rank_type,form_rank_type,value_season,influence_rank_type,direct_freekicks_order,minutes,bps,own_goals,news_added,points_per_game_rank,expected_goals,threat_rank_type,starts_per_90,penalties_saved,starts,event_points,expected_goals_conceded_per_90,points_per_game,assists,cost_change_start_fall,region,clean_sheets_per_90,cost_change_event_fall,goals_conceded_per_90,now_cost_rank,status,transfers_in_event,selected_by_percent,saves_per_90,influence,selected_rank,creativity_rank_type,ict_index,expected_goal_involvements_per_90,influence_rank,cost_change_event,now_cost_rank_type,penalties_missed,form_rank,expected_goal_involvements,transfers_out,transfers_out_event
89,Mikkel Damsgaard,50,MID,Brentford,0,14,73,4.5,22,4.5,100.0,4,1.86,276.7,Damsgaard,,37,2,4.5,14.90,False,0,0.21,119.0,97569,25,1.0,0.9,0,,40,0.1,0,0,1,91,100.0,28,13,8.0,17,3.0,789,192,0,2024-10-12T11:00:07.165630Z,68,0.84,57,1.03,0,9,8,1.7,3.6,3,0,58.0,0.23,0,1.6,221,a,16222,0.8,0.0,245.6,224,18,64.2,0.31,50,0,141,0,35,2.70,28620,1987
90,Josh Dasilva,48,MID,Brentford,0,0,292,0.0,626,0.0,0.0,0,0.00,0.0,Dasilva,,630,0,0.0,0.00,False,0,0.0,0.0,219,283,,0.0,0,Knee injury - Unknown return date,0,0.0,-2,0,0,614,0.0,284,259,0.0,282,,0,0,0,2024-08-12T14:30:04.460316Z,632,0.00,279,0.0,0,0,0,0.0,0.0,0,2,241.0,0.0,0,0.0,302,i,4,0.0,0.0,0.0,656,284,0.0,0.0,629,0,201,0,597,0.00,912,3
91,Mark Flekken,45,GKP,Brentford,0,22,4,2.5,423,2.5,,0,0.02,0.1,Flekken,,82,0,2.5,19.73,False,0,0.0,0.0,909690,1,,0.6,55,,29,0.0,0,0,0,532,,22,15,6.4,1,,990,159,0,,153,0.00,56,1.0,0,11,1,1.79,2.6,0,0,152.0,0.0,0,2.0,363,a,6566,12.3,5.0,445.0,30,9,44.3,0.0,3,0,15,0,116,0.02,684316,17125
92,Rico Henry,43,DEF,Brentford,0,0,193,0.0,515,0.0,0.0,0,0.00,0.0,Henry,,530,0,0.0,0.00,False,0,0.0,0.0,912,200,,0.0,0,Lack of match fitness - 50% chance of playing,0,0.0,-2,0,0,486,50.0,198,187,0.0,200,,0,0,0,2024-08-12T14:30:04.471299Z,533,0.00,190,0.0,0,0,0,0.0,0.0,0,2,241.0,0.0,0,0.0,551,d,13,0.0,0.0,0.0,560,199,0.0,0.0,527,0,133,0,471,0.00,5954,39
93,Aaron Hickey,43,DEF,Brentford,0,0,208,0.0,520,0.0,0.0,0,0.00,0.0,Hickey,,535,0,0.0,0.00,False,0,0.0,0.0,343,203,,0.0,0,Hamstring injury - Unknown return date,0,0.0,-2,0,0,493,0.0,201,191,0.0,203,,0,0,0,2024-08-12T14:30:04.480785Z,538,0.00,195,0.0,0,0,0,0.0,0.0,0,2,243.0,0.0,0,0.0,564,i,11,0.0,0.0,0.0,621,202,0.0,0.0,532,0,144,0,477,0.00,2501,13
94,Vitaly Janelt,49,MID,Brentford,0,20,82,5.2,78,5.2,,2,1.05,150.1,Janelt,,94,1,5.2,17.02,False,0,0.1,68.0,59524,57,,1.1,0,,38,0.04,-1,1,1,157,,31,6,7.8,25,,904,207,0,,74,0.42,97,1.1,0,11,5,1.69,3.5,3,1,80.0,0.1,0,1.99,265,a,10855,0.5,0.0,198.6,252,59,41.8,0.14,78,0,173,0,18,1.47,23895,1262
95,Mathias Jensen,53,MID,Brentford,0,8,178,1.0,132,1.0,100.0,1,0.56,105.2,Jensen,,257,0,1.0,7.08,False,0,0.15,14.0,5122,126,3.0,0.2,0,,13,0.03,-2,1,0,301,100.0,90,121,2.5,142,,346,59,0,2024-09-10T00:30:06.483560Z,206,0.12,165,1.04,0,4,2,1.84,2.2,1,2,58.0,0.0,0,2.08,153,a,137,0.1,0.0,47.4,479,95,16.8,0.18,303,0,89,0,257,0.68,16960,106
96,Kim Ji-soo,39,DEF,Brentford,0,0,108,0.0,433,0.0,,0,0.00,0.0,Ji-soo,,453,0,0.0,0.00,False,0,0.0,0.0,26294,156,,0.0,0,,0,0.0,-1,0,0,393,,153,129,0.0,156,,0,0,0,,455,0.00,135,0.0,0,0,0,0.0,0.0,0,1,114.0,0.0,0,0.0,678,a,1794,0.4,0.0,0.0,286,154,0.0,0.0,450,0,223,0,377,0.00,18499,944
97,Yunus Emre Konak,45,MID,Brentford,0,2,171,0.2,395,0.2,,0,0.00,1.6,Konak,,436,0,0.2,1.22,False,0,0.0,3.0,7578,215,,0.0,0,,4,0.75,0,0,0,362,,183,170,0.9,217,,18,7,0,,381,0.15,199,0.0,0,0,1,6.1,1.0,0,0,219.0,0.0,0,10.0,474,a,102,0.1,0.0,1.4,466,211,0.4,0.75,439,0,295,0,347,0.15,6937,164
98,Keane Lewis-Potter,50,MID,Brentford,0,17,151,3.0,89,3.0,,0,1.49,139.4,Lewis-Potter,,92,1,3.0,16.39,False,0,0.18,138.0,16870,56,,0.6,0,,29,0.1,0,1,0,82,,67,37,5.8,54,4.0,763,128,0,,157,0.84,50,1.06,0,9,2,1.93,2.6,3,0,241.0,0.12,0,2.01,218,a,283,0.1,0.0,142.4,420,67,41.9,0.28,153,0,139,0,94,2.33,10783,551
